"id"	en	kanji	kana
FMA46802	levator labii superioris alaeque nasi	上唇鼻翼挙筋;眼角筋	じょうしんびよくきょきん
FMA46816	depressor labii inferioris	下唇下制筋	かしんかせいきん
FMA46822	levator anguli oris	口角挙筋;犬歯筋	こうかくきょきん
FMA46834	buccinator	頬筋	きょうきん
FMA46825	mentalis	オトガイ筋	おとがいきん
FMA48996	masseter	咬筋	こうきん
FMA49000	superficial part of masseter	咬筋の浅部	こうきんせんぶ
FMA49003	deep part of masseter	咬筋の深部	こうきんしんぶ
FMA49006	temporalis	側頭筋	そくとうきん
FMA49015	lateral pterygoid	外側翼突筋	がいそくよくとつきん
FMA49020	upper head of lateral pterygoid	外側翼突筋の上頭	がいそくよくとつきんじょうとう
FMA49021	lower head of lateral pterygoid	外側翼突筋の下頭	がいそくよくとつきんかとう
FMA49011	medial pterygoid	内側翼突筋	ないそくよくとつきん
FMA71290	musculature of neck	頚部の筋	けいぶのきん
FMA45738	platysma	広頚筋	こうけいきん
FMA13370	longus colli	頚長筋	けいちょうきん
FMA46308	longus capitis	頭長筋	とうちょうきん
FMA13385	scalenus anterior	前斜角筋	ぜんしゃかくきん
FMA13386	scalenus medius	中斜角筋	ちゅうしゃかくきん
FMA13387	scalenus posterior	後斜角筋	こうしゃかくきん
FMA13407	sternocleidomastoid	胸鎖乳突筋	きょうさにゅうとつきん
FMA46312	rectus capitis anterior	前頭直筋	ぜんとうちょくきん
FMA46316	rectus capitis lateralis	外側頭直筋	がいそくとうちょうきん
FMA32525	rectus capitis posterior major	大後頭直筋	だいこうとうちょくきん
FMA32526	rectus capitis posterior minor	小後頭直筋	しょうこうとうちょくきん
FMA32527	obliquus capitis superior	上頭斜筋	じょうとうしゃきん
FMA32528	obliquus capitis inferior	下頭斜筋	かとうしゃきん
FMA46291	digastric	顎二腹筋	がくにふくきん
FMA46302	anterior belly of digastric	顎二腹筋の前腹	がくにふくきんぜんぷく
FMA46303	posterior belly of digastric	顎二腹筋の後腹	がくにふくきんこうふく
FMA9625	stylohyoid	茎突舌骨筋	けいとつぜつこつきん
FMA46320	mylohyoid	顎舌骨筋	がくぜつこつきん
FMA46325	geniohyoid	オトガイ舌骨筋	おとがいぜつこつきん
FMA13341	sternohyoid	胸骨舌骨筋	きょうこつぜつこつきん
FMA13342	omohyoid	肩甲舌骨筋	けんこうぜつこつきん
FMA13343	sternothyroid	胸骨甲状筋	きょうこつこうじょうきん
FMA13344	thyrohyoid	甲状舌骨筋	こうじょうぜつこつきん
FMA71291	musculature of back	背部の筋	はいぶのきん
FMA9626	trapezius	僧帽筋	そうぼうきん
FMA32556	transverse part of trapezius	下行部;僧帽筋の上部/水平部;僧帽筋の横行部	そうぼうきんすいへいぶ
FMA32555	ascending part of trapezius	上行部;僧帽筋の下部	そうぼうきんじょうこうぶ
FMA32557	descending part of trapezius	上行部;僧帽筋の下部	そうぼうきんかこうぶ
FMA13357	latissimus dorsi	広背筋	こうはいきん
FMA13379	rhomboid major	大菱形筋	だいりょうけいきん
FMA13380	rhomboid minor	小菱形筋	しょうりょうけいきん
FMA32519	levator scapulae	肩甲挙筋	けんこうきょきん
FMA13402	serratus posterior inferior	下後鋸筋	かこうきょきん
FMA13401	serratus posterior superior	上後鋸筋	じょうこうきょきん
FMA71442	set of anterior cervical intertransversarii	頚前横突間筋	けいぜんおうとつかんきん
FMA71443	set of posterior cervical intertransversarii	頚外側後横突間筋	けいがいこうおうとつかんきん
FMA71444	set of lateral lumbar intertransversarius muscles	腰外側横突間筋	ようぶがいそくおうとつかんきん
FMA77177	iliocostalis	腸肋筋	ちょうろくきん
FMA22702	iliocostalis lumborum	腰腸肋筋	ようちょうろくきん
FMA22704	iliocostalis cervicis	頚腸肋筋	けいちょうろくきん
FMA77178	longissimus	最長筋	さいちょうきん
FMA22709	longissimus thoracis	胸最長筋	きょうさいちょうきん
FMA22711	longissimus cervicis	頚最長筋	けいさいちょうきん
FMA22714	longissimus capitis	頭最長筋	とうさいちょうきん
FMA77179	spinalis	棘筋	きょくきん
FMA22765	spinalis thoracis	胸棘筋	きょうきょくきん
FMA77180	splenius	板状筋	ばんじょうきん
FMA22653	splenius capitis	頭板状筋	とうばんじょうきん
FMA22681	splenius cervicis	頚板状筋	けいばんじょうきん
FMA22827	multifidus	多裂筋	たれつきん
FMA22823	semispinalis	半棘筋	はんきょくきん
FMA22828	semispinalis thoracis	胸半棘筋	きょうはんきょくきん
FMA22829	semispinalis cervicis	頚半棘筋	けいはんきょくきん
FMA22830	semispinalis capitis	頭半棘筋	とうはんきょくきん
FMA71305	rotatores muscle group	回旋筋	かいせんきん
FMA23084	lumbar rotator	腰回旋筋	ようかいせんきん
FMA23083	thoracic rotator	胸回旋筋	きょうかいせんきん
FMA23082	cervical rotator	頚回旋筋	けいかいせんきん
FMA71306	set of interspinales	棘間筋	きょくかんきん
FMA71307	set of interspinales lumborum	腰棘間筋	ようきょくかんきん
FMA71308	set of interspinales thoracis	胸棘間筋	きょうきょくかんきん
FMA71309	set of interspinales cervicis	頚棘間筋	けいきょくかんきん
FMA76775	set of medial lumbar intertransversarius muscles	腰内側横突間筋	ようないそくおうとつかんきん
FMA71293	musculature of thorax	胸部の筋	きょうぶのきん
FMA9627	pectoralis major	大胸筋	だいきょうきん
FMA34687	clavicular part of pectoralis major	大胸筋の鎖骨部	だいきょうきんさこつぶ
FMA34696	sternocostal part of pectoralis major	大胸筋の胸肋部	だいきょうきんきょうろくぶ
FMA34699	abdominal part of pectoralis major	大胸筋の腹部	だいきょうきんふくぶ
FMA13109	pectoralis minor	小胸筋	しょうきょうきん
FMA13410	subclavius	鎖骨下筋	さこつかきん
FMA13397	serratus anterior	前鋸筋	ぜんきょきん
FMA71312	set of levatores costarum	肋骨挙筋	ろっこつきょきん
FMA71313	set of levatores costarum longi	長肋骨挙筋	ちょうろっこつきょきん
FMA71314	set of levatores costarum breves	短肋骨挙筋	たんろっこつきょきん
FMA9756	external intercostal muscle	外肋間筋	がいろっかんきん
FMA9757	internal intercostal muscle	内肋間筋;肋間内筋	ないろっかんきん
FMA9758	innermost intercostal muscle	最内肋間筋	さいないろっかんきん
FMA9760	transversus thoracis	胸横筋	きょうおうきん
FMA13295	diaphragm	横隔膜	おうかくまく
FMA86917	musculature of abdomen	腹部の筋	ふくぶのきん
FMA9628	rectus abdominis	腹直筋	ふくちょくきん
FMA15568	pyramidalis	錐体筋	すいたいきん
FMA13335	external oblique	外腹斜筋	がいふくしゃきん
FMA19855	inguinal ligament	鼡径靱帯;鼡径弓	そけいじんたい
FMA13891	internal oblique	内腹斜筋	ないふくしゃきん
FMA15570	transversus abdominis	腹横筋	ふくおうきん
FMA11336	linea alba	白線	はくせん
FMA15569	quadratus lumborum	腰方形筋	ようほうけいきん
FMA19726	pelvic diaphragm	骨盤隔膜	こつばんかくまく
FMA19087	levator ani	肛門挙筋	こうもんきょきん
FMA19090	pubococcygeus	恥骨尾骨筋/恥骨前立腺筋	ちこつびこつきん
FMA19091	puborectalis	恥骨直腸筋	ちこつちょうくちょうきん
FMA19092	iliococcygeus	腸骨尾骨筋	ちょうこつびこつきん
FMA46442	tendinous arch of levator ani	肛門挙筋腱弓	こうもんきょきんけんきゅう
FMA19088	coccygeus	坐骨尾骨筋;尾骨筋	ざこつびこつきん
FMA21930	external anal sphincter	外肛門括約筋	がいこうもんかつやくきん
FMA71295	musculature of perineum	会陰筋	えいんけん
FMA9621	muscle of upper limb	上肢の筋	じょうしのきん
FMA37673	anterior compartment of arm	上腕の前区画;上腕の屈筋区画	じょうわんのぜんくかく；じょうわんのくっきんくかく
FMA37676	posterior compartment of arm	上腕の後区画;上腕の伸筋区画	じょうわんのこうくかく；じょうわんのしんきんくかく
FMA12255	anterior compartment of forearm	前腕の前区画;前腕の屈筋区画	ぜんわんのぜんくかく；ぜんわんのくっきんくかく
FMA38411	posterior compartment of forearm	前腕の後区画;前腕の伸筋区画	ぜんわんのこうくかく；ぜんわんのしんきんくかく
FMA32521	deltoid	三角筋	さんかくきん
